Категория;Изображения;Аннотация;Описание;Товар;Адрес;Видим;Бренд;Заголовок страницы
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2070.jpg;<p>Лак для волос сильной фиксации. Обеспечивает надежную фиксацию и натуральный блеск волос.</p>;;Лак для волос сильной фиксации;lak_dlya_volos_silnoj_fiksacii;1;Estel;Лак для волос сильной фиксации
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2071.jpg;"<p>Лак для волос. Экстрасильная фиксация.
Обеспечивает надежную фиксацию и натуральный блеск волос.</p>";;Лак для волос экстрасильной фиксации;lak_dlya_volos_ekstrasilnoj_fiksacii;1;Estel;Лак для волос экстрасильной фиксации
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2072.jpg;<p>Лак для волос эластичной фиксации. Обеспечивает эластичную фиксацию и подвижный контроль укладки. Придает форме легкий объем, позволяет изменять стайлинг.</p>;;Лак для волос эластичной фиксации;lak_dlya_volos_elastichnoj_fiksacii;1;Estel;Лак для волос эластичной фиксации
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2073.jpg;<p>Мусс эффективен для создания пружинных локонов</p>;;Мусс для волос для создания локонов;muss_dlya_volos_dlya_sozdaniya_lokonov;1;Estel;Мусс для волос для создания локонов
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2074.jpg;<p>Обеспечивает сильную фиксацию, придает волосам дополнительный объем.</p>;;Мусс для волос нормальной фиксации;muss_dlya_volos_normalnoj_fiksacii;1;Estel;Мусс для волос нормальной фиксации
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2075.jpg;<p>Содержит активные увлажняющие компоненты, провитамин В5 и комплекс силоксанов, придающий блеск.</p>;;Гель для укладки волос Нормальная фиксация;gel_dlya_ukladki_volos_normalnaya_fiksaciya;1;Estel;Гель для укладки волос Нормальная фиксация
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2076.jpg;<p>Содержит активные увлажняющие компоненты, провитамин В5 и комплекс силоксанов, придающий блеск.</p>;;Гель для укладки волос Сильная фиксация;gel_dlya_ukladki_volos_silnaya_fiksaciya;1;Estel;Гель для укладки волос Сильная фиксация
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2077.jpg;<p>Воск для моделирования Нормальная фиксация. Подчеркивает отдельные пряди или элементы прически</p>;;Воск для моделирования Нормальная фиксация;vosk_dlya_modelirovaniya_normalnaya_fiksaciya;1;Estel;Воск для моделирования Нормальная фиксация
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2078.jpg;<p>Эластик-гель для моделирования-пластичная фиксация</p>;;Эластик-гель для моделирования;elastik-gel_dlya_modelirovaniya;1;Estel;Эластик-гель для моделирования
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2079.jpg;<p>Мусс обеспечивает надежную и сильную фиксацию, легко помогает волосам приобрести дополнительный объем.</p>;;Мусс для волос сильной фиксации;muss_dlya_volos_silnoj_fiksacii;1;Estel;Мусс для волос сильной фиксации
